# Phase 1 Track B candidate seed (REC-01) — D-05 per-signal schema.
# Generated by scripts/red-team-hybrid/mine_track_b_candidates.py
# Generated at: 2026-04-08T05:43:49+00:00
# SCHEMA MIGRATION NOTE: this file previously held a Phase 0 EPISODE-level
# header (episode_id,canonical_key,episode_start,...). It is now D-05 per-signal
# (signal_id,source_api,canonical_key,...). Episode-level rollup happens in Phase 2+
# in a separate file. See CONTEXT.md D-05 and 1-RESEARCH.md for the migration record.
# Cohort selection bias: Track B is the SECONDARY canary per CONTEXT.md D-07;
# this cohort is drawn from what the engine already surfaced and is known-biased.
# Random-sampled cohort is a Phase 3+ deliverable.
# Analyst confirmation: python -m ops.cli quality label <signal_id> <TP|FP|UNSURE> --reason "..."
signal_id,source_api,canonical_key,company_name,confidence_from_classifier,thesis_category,claude_pre_label,pre_label_rationale,analyst_label,labeled_at,labeler_id
39,news_api,domain:fastcompany.com,,0.50,consumer_cpg,TP,"Bucket 1 (TP-likely): qualified category, score >= 0.7. category=consumer_cpg, score=0.85",,,
41,news_api,domain:inc.com,,0.45,consumer_cpg,TP,"Bucket 1 (TP-likely): qualified category, score >= 0.7. category=consumer_cpg, score=0.85",,,
43,news_api,domain:interestingengineering.com,,0.40,consumer_health_tech,TP,"Bucket 1 (TP-likely): qualified category, score >= 0.7. category=consumer_health_tech, score=0.75",,,
179,hacker_news,hacker_news:26451202,Queenly,0.50,consumer_marketplace,TP,"Bucket 1 (TP-likely): qualified category, score >= 0.7. category=consumer_marketplace, score=0.85",,,
471,rss_feeds,name_loc:culinary,CULINARY,0.60,travel_hospitality,TP,"Bucket 1 (TP-likely): qualified category, score >= 0.7. category=travel_hospitality, score=0.75",,,
469,rss_feeds,name_loc:custom-models,Custom Models,0.60,travel_hospitality,TP,"Bucket 1 (TP-likely): qualified category, score >= 0.7. category=travel_hospitality, score=0.75",,,
314,rss_feeds,name_loc:hydrinity-accelerated-skin-science,HYDRINITY Accelerated Skin Science,0.60,consumer_cpg,TP,"Bucket 1 (TP-likely): qualified category, score >= 0.7. category=consumer_cpg, score=0.75",,,
210,news_api,name_loc:lessons-that-helped,Lessons That Helped,0.35,consumer_cpg,TP,"Bucket 1 (TP-likely): qualified category, score >= 0.7. category=consumer_cpg, score=0.75",,,
173,rss_feeds,name_loc:litehouse-foods,Litehouse Foods,0.60,consumer_cpg,TP,"Bucket 1 (TP-likely): qualified category, score >= 0.7. category=consumer_cpg, score=0.75",,,
600,rss_feeds,name_loc:purito-seoul,Purito Seoul,0.60,consumer_cpg,TP,"Bucket 1 (TP-likely): qualified category, score >= 0.7. category=consumer_cpg, score=0.85",,,
294,arxiv,arxiv_author:abhinavmoudgil,,0.45,excluded,FP,"Bucket 2 (FP-likely): excluded category, score < 0.3. category=excluded, score=0.10",,,
274,arxiv,arxiv_author:annavolodkevich,,0.45,excluded,FP,"Bucket 2 (FP-likely): excluded category, score < 0.3. category=excluded, score=0.05",,,
262,arxiv,arxiv_author:arindamkhaled,,0.50,excluded,FP,"Bucket 2 (FP-likely): excluded category, score < 0.3. category=excluded, score=0.05",,,
275,arxiv,arxiv_author:barsatkhadka,,0.45,excluded,FP,"Bucket 2 (FP-likely): excluded category, score < 0.3. category=excluded, score=0.10",,,
257,arxiv,arxiv_author:biswajitsadhu,,0.45,excluded,FP,"Bucket 2 (FP-likely): excluded category, score < 0.3. category=excluded, score=0.05",,,
283,arxiv,arxiv_author:bowenchen,,0.45,excluded,FP,"Bucket 2 (FP-likely): excluded category, score < 0.3. category=excluded, score=0.05",,,
300,arxiv,arxiv_author:chanjinpark,,0.45,excluded,FP,"Bucket 2 (FP-likely): excluded category, score < 0.3. category=excluded, score=0.20",,,
256,arxiv,arxiv_author:deborahnjakobi,,0.45,excluded,FP,"Bucket 2 (FP-likely): excluded category, score < 0.3. category=excluded, score=0.10",,,
269,arxiv,arxiv_author:hefeimei,,0.45,excluded,FP,"Bucket 2 (FP-likely): excluded category, score < 0.3. category=excluded, score=0.10",,,
288,arxiv,arxiv_author:hieubui,,0.45,excluded,FP,"Bucket 2 (FP-likely): excluded category, score < 0.3. category=excluded, score=0.10",,,
542,arxiv,arxiv_author:aaronbroukhim,,0.50,unclassified,UNSURE,"Bucket 3 (ambiguous): unclassified. category=unclassified, score=NULL",,,
510,arxiv,arxiv_author:aashishrai,,0.45,unclassified,UNSURE,"Bucket 3 (ambiguous): unclassified. category=unclassified, score=NULL",,,
211,arxiv,arxiv_author:abdelrahmanshaker,,0.45,unclassified,UNSURE,"Bucket 3 (ambiguous): unclassified. category=unclassified, score=NULL",,,
563,arxiv,arxiv_author:agamdeepschopra,,0.45,unclassified,UNSURE,"Bucket 3 (ambiguous): unclassified. category=unclassified, score=NULL",,,
243,arxiv,arxiv_author:akhileshkakoluramarao,,0.45,unclassified,UNSURE,"Bucket 3 (ambiguous): unclassified. category=unclassified, score=NULL",,,
537,arxiv,arxiv_author:akihisawatanabe,,0.45,unclassified,UNSURE,"Bucket 3 (ambiguous): unclassified. category=unclassified, score=NULL",,,
229,arxiv,arxiv_author:alaaelichi,,0.45,unclassified,UNSURE,"Bucket 3 (ambiguous): unclassified. category=unclassified, score=NULL",,,
515,arxiv,arxiv_author:alaaanani,,0.50,unclassified,UNSURE,"Bucket 3 (ambiguous): unclassified. category=unclassified, score=NULL",,,
336,arxiv,arxiv_author:alessandrolondei,,0.45,unclassified,UNSURE,"Bucket 3 (ambiguous): unclassified. category=unclassified, score=NULL",,,
485,arxiv,arxiv_author:alosrautureau,,0.45,unclassified,UNSURE,"Bucket 3 (ambiguous): unclassified. category=unclassified, score=NULL",,,
