### **Weeks 1–2: Preflight + Foundation (Cohesive Table)**

| Task ID   | Task Description                                                                                                  |                        Lead | Effort (Days) | Status |
| --------- | ----------------------------------------------------------------------------------------------------------------- | --------------------------: | ------------: | ------ |
| **1.0.1** | **Lock deployment target + environment approach**                                                                 |                Project Lead |           0.5 | To Do  |
|           | - Decide: Render/Fly (single host) vs Vercel+API host; document in README.                                        |                             |               |        |
| **1.0.2** | **Clarify key vocabulary + data-flow assumptions**                                                                |                Project Lead |           0.5 | To Do  |
|           | - Document: Notion API key vs Notion DB ID vs “Canonical Key” (company identifier).                               |                             |               |        |
|           | - Confirm Phase 1 rule: web app does **not** call Notion live for rendering.                                      |                             |               |        |
| **1.0.3** | **Create `.env.example` + local run contract**                                                                    |                Backend Lead |           0.5 | To Do  |
|           | - Add env vars: `NOTION_API_KEY`, `NOTION_DATABASE_ID`, `SIGNALS_DB_PATH`, `APP_DB_PATH`, auth placeholders.      |                             |               |        |
| **1.0.4** | **Notion schema preflight (fail fast)**                                                                           |                Backend Lead |           0.5 | To Do  |
|           | - Validate required properties exist; confirm “Founder LinkedIn” type (prefer `url`).                             |                             |               |        |
| **1.0.5** | **Choose founder↔company linkage policy (prevents silent overwrites)**                                            | Project Lead + Backend Lead |           0.5 | To Do  |
|           | - Option A: skip relinks (fast MVP). Option B: add join table (correct model).                                    |                             |               |        |
| **1.0.6** | **Implement Notion → Founder sync job** (`workflows/founder_sync.py`)                                             |                Backend Lead |           2.0 | To Do  |
|           | - Query Notion DB, extract company canonical key + founder LI URL(s), normalize, upsert to local store.           |                             |               |        |
|           | - Default conflict behavior: **skip** relinks + log/report.                                                       |                             |               |        |
| **1.0.7** | **Run dry-run + produce sync report**                                                                             |                Backend Lead |           1.0 | To Do  |
|           | - Metrics: founders found/synced, invalid LI, conflicts, missing canonical keys.                                  |                             |               |        |
|           | - Fix normalization edge cases until conflicts/invalids are understood.                                           |                             |               |        |
| **1.0.8** | **Add 2 API smoke endpoints (prove the data chain)**                                                              |                Backend Lead |           1.0 | To Do  |
|           | - `GET /api/v1/companies?limit=5` (from `signals.db`).                                                            |                             |               |        |
|           | - `GET /api/v1/companies/{id}/founders` (from local founder store populated by sync).                             |                             |               |        |
| **1.0.9** | **Decision checkpoint: keep/trim Week 5–6 “Network” scope**                                                       |                Project Lead |          0.25 | To Do  |
|           | - Based on sync report coverage/conflicts, decide whether Phase 1 network is “paths/entities” vs “founders only”. |                             |               |        |
| **1.1**   | **Finalize Tech Stack (lock choices, stop churn)**                                                                |                Project Lead |           0.5 | To Do  |
|           | - Frontend: Next.js + TS + Tailwind + shadcn/ui. Backend: FastAPI + Pydantic.                                     |                             |               |        |
|           | - Auth: NextAuth/Clerk/Auth0 (pick one) + API auth middleware strategy.                                           |                             |               |        |
| **1.2**   | **Initialize Web Project (Frontend)**                                                                             |               Frontend Lead |           1.0 | To Do  |
|           | - Scaffold Next.js app, lint/format, routing: `/login`, `/companies`, `/companies/[id]`.                          |                             |               |        |
| **1.3**   | **Create FastAPI Service Skeleton**                                                                               |                Backend Lead |           1.0 | To Do  |
|           | - `GET /health`, `GET /version`, `/api/v1` router, CORS, structured logging.                                      |                             |               |        |
| **1.4**   | **DB Access Layer: `signals.db` (read-only) + `app.db` scaffolding**                                              |                Backend Lead |           2.0 | To Do  |
|           | - Read-only query layer for `signals.db`; document WAL/timeouts if SQLite.                                        |                             |               |        |
|           | - Create `app.db` migrations/tables (notes/status/tags/snooze/suppress/saved_views/audit_events).                 |                             |               |        |
| **1.5**   | **Implement Authentication (Frontend + API Guard)**                                                               |                  Full Stack |           2.5 | To Do  |
|           | - Login/logout + protected routes; API rejects unauthenticated calls.                                             |                             |               |        |
| **1.6**   | **Build Basic UI Shell**                                                                                          |               Frontend Lead |           1.5 | To Do  |
|           | - Sidebar + header + placeholder search; loading/error/empty states.                                              |                             |               |        |
| **1.7**   | **CI + Dev Workflow Baseline**                                                                                    |                   Full Team |           1.0 | To Do  |
|           | - Frontend typecheck/lint; backend tests/lint; PR checks green.                                                   |                             |               |        |
| **1.8**   | **UX Baseline (wireframes + component spec)**                                                                     |                       UI/UX |           2.0 | To Do  |
|           | - Company list, company detail, founder section, triage controls (status/notes/tags).                             |                             |               |        |

**Week 2 deliverable:** You can (1) run the founder sync from Notion, (2) hit API smoke endpoints that return real data, and (3) log into a working app shell wired to `/api/v1`—ready to build the Company List + Detail experience in Weeks 3–4.
